# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
| Sybaris Prime Stock | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Kronen Prime Blade | Uncommon | 10.00% |
| Kogake Prime Blueprint | Uncommon | 20.00% |
| Destreza Prime Blueprint | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Sybaris Prime Stock | Uncommon | 16.67% |

## Axi K5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Kronen Prime Blade | Rare | 2.00% |
| Hydroid Prime Blueprint | Uncommon | 11.00% |
| Equinox Prime Blueprint | Uncommon | 11.00% |
| Ballistica Prime Lower Limb | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Kronen Prime Blade | Rare | 4.00% |
| Hydroid Prime Blueprint | Uncommon | 13.00% |
| Equinox Prime Blueprint | Uncommon | 13.00% |
| Ballistica Prime Lower Limb | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Kronen Prime Blade | Rare | 6.00% |
| Hydroid Prime Blueprint | Uncommon | 17.00% |
| Equinox Prime Blueprint | Uncommon | 17.00% |
| Ballistica Prime Lower Limb | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Kronen Prime Blade | Uncommon | 10.00% |
| Hydroid Prime Blueprint | Uncommon | 20.00% |
| Equinox Prime Blueprint | Uncommon | 20.00% |
| Ballistica Prime Lower Limb | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi K6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Karyst Prime Blade | Rare | 2.00% |
| Harrow Prime Blueprint | Uncommon | 11.00% |
| Inaros Prime Chassis Blueprint | Uncommon | 11.00% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Karyst Prime Blade | Rare | 4.00% |
| Harrow Prime Blueprint | Uncommon | 13.00% |
| Inaros Prime Chassis Blueprint | Uncommon | 13.00% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Karyst Prime Blade | Rare | 6.00% |
| Harrow Prime Blueprint | Uncommon | 17.00% |
| Inaros Prime Chassis Blueprint | Uncommon | 17.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Karyst Prime Blade | Uncommon | 10.00% |
| Harrow Prime Blueprint | Uncommon | 20.00% |
| Inaros Prime Chassis Blueprint | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi K7
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 2.00% |
| Corvas Prime Blueprint | Uncommon | 11.00% |
| Gara Prime Chassis Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |
| Karyst Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 4.00% |
| Corvas Prime Blueprint | Uncommon | 13.00% |
| Gara Prime Chassis Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |
| Karyst Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 6.00% |
| Corvas Prime Blueprint | Uncommon | 17.00% |
| Gara Prime Chassis Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |
| Karyst Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Uncommon | 10.00% |
| Corvas Prime Blueprint | Uncommon | 20.00% |
| Gara Prime Chassis Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Karyst Prime Blueprint | Uncommon | 16.67% |

## Axi K8
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Khora Prime Neuroptics Blueprint | Rare | 2.00% |
| Akbronco Prime Link | Uncommon | 11.00% |
| Octavia Prime Chassis Blueprint | Uncommon | 11.00% |
| Burston Prime Blueprint | Uncommon | 25.33% |
| Corvas Prime Receiver | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Khora Prime Neuroptics Blueprint | Rare | 4.00% |
| Akbronco Prime Link | Uncommon | 13.00% |
| Octavia Prime Chassis Blueprint | Uncommon | 13.00% |
| Burston Prime Blueprint | Uncommon | 23.33% |
| Corvas Prime Receiver | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Khora Prime Neuroptics Blueprint | Rare | 6.00% |
| Akbronco Prime Link | Uncommon | 17.00% |
| Octavia Prime Chassis Blueprint | Uncommon | 17.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |
| Corvas Prime Receiver | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Khora Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Akbronco Prime Link | Uncommon | 20.00% |
| Octavia Prime Chassis Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 16.67% |
| Corvas Prime Receiver | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi K9
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 2.00% |
| Hystrix Prime Blueprint | Uncommon | 11.00% |
| Volnus Prime Head | Uncommon | 11.00% |
| Orthos Prime Handle | Uncommon | 25.33% |
| Nagantaka Prime Barrel | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 4.00% |
| Hystrix Prime Blueprint | Uncommon | 13.00% |
| Volnus Prime Head | Uncommon | 13.00% |
| Orthos Prime Handle | Uncommon | 23.33% |
| Nagantaka Prime Barrel | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Rare | 6.00% |
| Hystrix Prime Blueprint | Uncommon | 17.00% |
| Volnus Prime Head | Uncommon | 17.00% |
| Orthos Prime Handle | Uncommon | 20.00% |
| Nagantaka Prime Barrel | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Knell Prime Barrel | Uncommon | 10.00% |
| Hystrix Prime Blueprint | Uncommon | 20.00% |
| Volnus Prime Head | Uncommon | 20.00% |
| Orthos Prime Handle | Uncommon | 16.67% |
| Nagantaka Prime Barrel | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |

## Axi L1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 2.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Glaive Prime Blade | Uncommon | 11.00% |
| Reaper Prime Blueprint | Uncommon | 25.33% |
| Wyrm Prime Carapace | Uncommon | 25.33% |
| Latron Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 4.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Glaive Prime Blade | Uncommon | 13.00% |
| Reaper Prime Blueprint | Uncommon | 23.33% |
| Wyrm Prime Carapace | Uncommon | 23.33% |
| Latron Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 6.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Glaive Prime Blade | Uncommon | 17.00% |
| Reaper Prime Blueprint | Uncommon | 20.00% |
| Wyrm Prime Carapace | Uncommon | 20.00% |
| Latron Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Uncommon | 10.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Glaive Prime Blade | Uncommon | 20.00% |
| Reaper Prime Blueprint | Uncommon | 16.67% |
| Wyrm Prime Carapace | Uncommon | 16.67% |
| Latron Prime Blueprint | Uncommon | 16.67% |

## Axi L2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Neuroptics Blueprint | Rare | 2.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Tiberon Prime Blueprint | Uncommon | 11.00% |
| Orthos Prime Handle | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Nami Skyla Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Neuroptics Blueprint | Rare | 4.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Tiberon Prime Blueprint | Uncommon | 13.00% |
| Orthos Prime Handle | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Nami Skyla Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Neuroptics Blueprint | Rare | 6.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Tiberon Prime Blueprint | Uncommon | 17.00% |
| Orthos Prime Handle | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Nami Skyla Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Neuroptics Blueprint | Uncommon | 10.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Tiberon Prime Blueprint | Uncommon | 20.00% |
| Orthos Prime Handle | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Nami Skyla Prime Blueprint | Uncommon | 16.67% |

## Axi L3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 2.00% |
| Akjagara Prime Receiver | Uncommon | 11.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 11.00% |
| Nami Skyla Prime Blueprint | Uncommon | 25.33% |
| Kronen Prime Blueprint | Uncommon | 25.33% |
| Fang Prime Handle | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 4.00% |
| Akjagara Prime Receiver | Uncommon | 13.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 13.00% |
| Nami Skyla Prime Blueprint | Uncommon | 23.33% |
| Kronen Prime Blueprint | Uncommon | 23.33% |
| Fang Prime Handle | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 6.00% |
| Akjagara Prime Receiver | Uncommon | 17.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 17.00% |
| Nami Skyla Prime Blueprint | Uncommon | 20.00% |
| Kronen Prime Blueprint | Uncommon | 20.00% |
| Fang Prime Handle | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Uncommon | 10.00% |
| Akjagara Prime Receiver | Uncommon | 20.00% |
| Zephyr Prime Chassis Blueprint | Uncommon | 20.00% |
| Nami Skyla Prime Blueprint | Uncommon | 16.67% |
| Kronen Prime Blueprint | Uncommon | 16.67% |
| Fang Prime Handle | Uncommon | 16.67% |

## Axi L4
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 2.00% |
| Volt Prime Systems Blueprint | Uncommon | 11.00% |
| Odonata Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Bo Prime Ornament | Uncommon | 25.33% |
| Wyrm Prime Carapace | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 4.00% |
| Volt Prime Systems Blueprint | Uncommon | 13.00% |
| Odonata Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Bo Prime Ornament | Uncommon | 23.33% |
| Wyrm Prime Carapace | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Rare | 6.00% |
| Volt Prime Systems Blueprint | Uncommon | 17.00% |
| Odonata Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Bo Prime Ornament | Uncommon | 20.00% |
| Wyrm Prime Carapace | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Loki Prime Systems Blueprint | Uncommon | 10.00% |
| Volt Prime Systems Blueprint | Uncommon | 20.00% |
| Odonata Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Bo Prime Ornament | Uncommon | 16.67% |
| Wyrm Prime Carapace | Uncommon | 16.67% |

## Axi L5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 2.00% |
| Akbronco Prime Link | Uncommon | 11.00% |
| Kronen Prime Handle | Uncommon | 11.00% |
| Fang Prime Blueprint | Uncommon | 25.33% |
| Burston Prime Blueprint | Uncommon | 25.33% |
| Rubico Prime Stock | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 4.00% |
| Akbronco Prime Link | Uncommon | 13.00% |
| Kronen Prime Handle | Uncommon | 13.00% |
| Fang Prime Blueprint | Uncommon | 23.33% |
| Burston Prime Blueprint | Uncommon | 23.33% |
| Rubico Prime Stock | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Rare | 6.00% |
| Akbronco Prime Link | Uncommon | 17.00% |
| Kronen Prime Handle | Uncommon | 17.00% |
| Fang Prime Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |
| Rubico Prime Stock | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Limbo Prime Chassis Blueprint | Uncommon | 10.00% |
| Akbronco Prime Link | Uncommon | 20.00% |
| Kronen Prime Handle | Uncommon | 20.00% |
| Fang Prime Blueprint | Uncommon | 16.67% |
| Burston Prime Blueprint | Uncommon | 16.67% |
| Rubico Prime Stock | Uncommon | 16.67% |

## Axi L6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Larkspur Prime Barrel | Rare | 2.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 11.00% |
| Cobra & Crane Prime Blade | Uncommon | 11.00% |
| Zylok Prime Barrel | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Larkspur Prime Barrel | Rare | 4.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 13.00% |
| Cobra & Crane Prime Blade | Uncommon | 13.00% |
| Zylok Prime Barrel | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Larkspur Prime Barrel | Rare | 6.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 17.00% |
| Cobra & Crane Prime Blade | Uncommon | 17.00% |
| Zylok Prime Barrel | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Larkspur Prime Barrel | Uncommon | 10.00% |
| Hildryn Prime Chassis Blueprint | Uncommon | 20.00% |
| Cobra & Crane Prime Blade | Uncommon | 20.00% |
| Zylok Prime Barrel | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |

## Axi M1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Mirage Prime Blueprint | Rare | 2.00% |
| Orthos Prime Blueprint | Uncommon | 11.00% |
| Rubico Prime Barrel | Uncommon | 11.00% |
| Zhuge Prime String | Uncommon | 25.33% |
| Lex Prime Barrel | Uncommon | 25.33% |
| Mesa Prime Chassis Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Mirage Prime Blueprint | Rare | 4.00% |
| Orthos Prime Blueprint | Uncommon | 13.00% |
| Rubico Prime Barrel | Uncommon | 13.00% |
| Zhuge Prime String | Uncommon | 23.33% |
| Lex Prime Barrel | Uncommon | 23.33% |
| Mesa Prime Chassis Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Mirage Prime Blueprint | Rare | 6.00% |
| Orthos Prime Blueprint | Uncommon | 17.00% |
| Rubico Prime Barrel | Uncommon | 17.00% |
| Zhuge Prime String | Uncommon | 20.00% |
| Lex Prime Barrel | Uncommon | 20.00% |
| Mesa Prime Chassis Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Mirage Prime Blueprint | Uncommon | 10.00% |
| Orthos Prime Blueprint | Uncommon | 20.00% |
| Rubico Prime Barrel | Uncommon | 20.00% |
| Zhuge Prime String | Uncommon | 16.67% |
| Lex Prime Barrel | Uncommon | 16.67% |
| Mesa Prime Chassis Blueprint | Uncommon | 16.67% |

## Axi M2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 2.00% |
| Panthera Prime Stock | Uncommon | 11.00% |
| Nezha Prime Blueprint | Uncommon | 11.00% |
| Bronco Prime Receiver | Uncommon | 25.33% |
| Titania Prime Chassis Blueprint | Uncommon | 25.33% |
| Burston Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 4.00% |
| Panthera Prime Stock | Uncommon | 13.00% |
| Nezha Prime Blueprint | Uncommon | 13.00% |
| Bronco Prime Receiver | Uncommon | 23.33% |
| Titania Prime Chassis Blueprint | Uncommon | 23.33% |
| Burston Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 6.00% |
| Panthera Prime Stock | Uncommon | 17.00% |
| Nezha Prime Blueprint | Uncommon | 17.00% |
| Bronco Prime Receiver | Uncommon | 20.00% |
| Titania Prime Chassis Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Uncommon | 10.00% |
| Panthera Prime Stock | Uncommon | 20.00% |
| Nezha Prime Blueprint | Uncommon | 20.00% |
| Bronco Prime Receiver | Uncommon | 16.67% |
| Titania Prime Chassis Blueprint | Uncommon | 16.67% |
| Burston Prime Blueprint | Uncommon | 16.67% |

## Axi M3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 2.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Ballistica Prime Upper Limb | Uncommon | 11.00% |
| Akjagara Prime Blueprint | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 4.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Ballistica Prime Upper Limb | Uncommon | 13.00% |
| Akjagara Prime Blueprint | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 6.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Ballistica Prime Upper Limb | Uncommon | 17.00% |
| Akjagara Prime Blueprint | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Hydroid Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Ballistica Prime Upper Limb | Uncommon | 20.00% |
| Akjagara Prime Blueprint | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi M4
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 2.00% |
| Redeemer Prime Blueprint | Uncommon | 11.00% |
| Limbo Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Destreza Prime Handle | Uncommon | 25.33% |
| Vasto Prime Barrel | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 4.00% |
| Redeemer Prime Blueprint | Uncommon | 13.00% |
| Limbo Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Destreza Prime Handle | Uncommon | 23.33% |
| Vasto Prime Barrel | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Rare | 6.00% |
| Redeemer Prime Blueprint | Uncommon | 17.00% |
| Limbo Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Destreza Prime Handle | Uncommon | 20.00% |
| Vasto Prime Barrel | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Mesa Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Redeemer Prime Blueprint | Uncommon | 20.00% |
| Limbo Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Destreza Prime Handle | Uncommon | 16.67% |
| Vasto Prime Barrel | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi M5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 2.00% |
| Magnus Prime Receiver | Uncommon | 11.00% |
| Akmagnus Prime Link | Uncommon | 11.00% |
| Magnus Prime Blueprint | Uncommon | 25.33% |
| Akmagnus Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 4.00% |
| Magnus Prime Receiver | Uncommon | 13.00% |
| Akmagnus Prime Link | Uncommon | 13.00% |
| Magnus Prime Blueprint | Uncommon | 23.33% |
| Akmagnus Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Rare | 6.00% |
| Magnus Prime Receiver | Uncommon | 17.00% |
| Akmagnus Prime Link | Uncommon | 17.00% |
| Magnus Prime Blueprint | Uncommon | 20.00% |
| Akmagnus Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Magnus Prime Barrel | Uncommon | 10.00% |
| Magnus Prime Receiver | Uncommon | 20.00% |
| Akmagnus Prime Link | Uncommon | 20.00% |
| Magnus Prime Blueprint | Uncommon | 16.67% |
| Akmagnus Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi M6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Masseter Prime Blade | Rare | 2.00% |
| Cedo Prime Receiver | Uncommon | 11.00% |
| Xaku Prime Systems Blueprint | Uncommon | 11.00% |
| Burston Prime Blueprint | Uncommon | 25.33% |
| Acceltra Prime Blueprint | Uncommon | 25.33% |
| Grendel Prime Neuroptics Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Masseter Prime Blade | Rare | 4.00% |
| Cedo Prime Receiver | Uncommon | 13.00% |
| Xaku Prime Systems Blueprint | Uncommon | 13.00% |
| Burston Prime Blueprint | Uncommon | 23.33% |
| Acceltra Prime Blueprint | Uncommon | 23.33% |
| Grendel Prime Neuroptics Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Masseter Prime Blade | Rare | 6.00% |
| Cedo Prime Receiver | Uncommon | 17.00% |
| Xaku Prime Systems Blueprint | Uncommon | 17.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |
| Acceltra Prime Blueprint | Uncommon | 20.00% |
| Grendel Prime Neuroptics Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Masseter Prime Blade | Uncommon | 10.00% |
| Cedo Prime Receiver | Uncommon | 20.00% |
| Xaku Prime Systems Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 16.67% |
| Acceltra Prime Blueprint | Uncommon | 16.67% |
| Grendel Prime Neuroptics Blueprint | Uncommon | 16.67% |

## Axi N1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Link | Uncommon | 11.00% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Odonata Prime Wings Blueprint | Uncommon | 11.00% |
| Fang Prime Blade | Uncommon | 25.33% |
| Ash Prime Systems Blueprint | Rare | 2.00% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Link | Uncommon | 13.00% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Odonata Prime Wings Blueprint | Uncommon | 13.00% |
| Fang Prime Blade | Uncommon | 23.33% |
| Ash Prime Systems Blueprint | Rare | 4.00% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Akstiletto Prime Link | Uncommon | 17.00% |
