# Mission & Bounty Drop Tables
FORMAT: Mission rewards organized by ## Planet, ### Node — Mode. Rotation rewards in tables: Item | Rarity | Chance. Bounties show tier rewards with stage and % in tables.
INDEX: Mission Rewards (24 entries) | Sortie Rewards (1 entries) | Transient Rewards (51 entries) | Key Rewards (24 entries) | Cetus Bounty Rewards (10 entries) | Solaris Bounty Rewards (11 entries) | Deimos Bounty Rewards (12 entries) | Zariman Bounty Rewards (5 entries) | Entrati Lab Rewards (5 entries) | Hex Bounty Rewards (7 entries)

# Mission Rewards
All mission reward tables organized by planet and node. Shows game mode, rotation rewards (A/B/C), item names, rarity, and exact drop percentages.

## Mercury
### Apollodorus — Survival
**Rotation A:**
| Item | Rarity | Chance |
| Steel Fiber | Rare | 6.67% |
| Serration | Rare | 6.67% |
| Hornet Strike | Rare | 6.67% |
| Fast Deflection | Rare | 6.67% |
| Charged Shell | Rare | 6.67% |
| Vital Sense | Rare | 6.67% |
| Meso L4 Relic | Rare | 6.67% |
| Meso V15 Relic | Rare | 6.67% |
| Meso X1 Relic | Rare | 6.67% |
| Meso D8 Relic | Rare | 6.67% |
| Meso V13 Relic | Rare | 6.67% |
| Meso A10 Relic | Rare | 6.67% |
| Meso A9 Relic | Rare | 6.67% |
| Meso E7 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Quickening | Uncommon | 11.28% |
| Enduring Strike | Uncommon | 11.28% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

### Quirinus — Capture (Event)
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.84% |
| Fast Deflection | Uncommon | 10.84% |
| Rush | Uncommon | 11.06% |
| Magazine Warp | Uncommon | 10.84% |
| Trick Mag | Uncommon | 10.84% |
| Pressure Point | Legendary | 0.34% |
| Ammo Drum | Uncommon | 11.06% |
| Fast Hands | Uncommon | 10.84% |
| Quickdraw | Uncommon | 10.84% |
| Health Restore (Large) | Uncommon | 10.84% |
| Omni Ammo Box | Legendary | 0.34% |
| North Wind | Legendary | 0.34% |
| Shocking Touch | Legendary | 0.34% |
| Molten Impact | Legendary | 0.34% |
| Stretch | Legendary | 0.34% |

### Syrtis — Exterminate
| Item | Rarity | Chance |
|---|---|---|
| Morphic Transformer | Rare | 5.64% |
| Automatic Trigger | Common | 38.72% |
| Phaedra Receiver | Rare | 5.64% |
| Extend | Common | 38.72% |
| Shell Rush | Rare | 5.64% |
| Shell Rush | Rare | 5.64% |

### Tyana Pass — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Rare | 6.25% |
| Neo S20 Relic | Rare | 6.25% |
| Neo P10 Relic | Rare | 6.25% |
| Neo N24 Relic | Rare | 6.25% |
| Neo V11 Relic | Rare | 6.25% |
| Neo K9 Relic | Rare | 6.25% |
| Neo T10 Relic | Rare | 6.25% |
| 400 Endo | Common | 36.25% |
| Steflos Blueprint | Uncommon | 10.00% |
| Corufell Blueprint | Uncommon | 10.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Rare | 5.80% |
| Neo S20 Relic | Rare | 5.80% |
| Neo P10 Relic | Rare | 5.80% |
| Neo N24 Relic | Rare | 5.80% |
| Neo V11 Relic | Rare | 5.80% |
| Neo K9 Relic | Rare | 5.80% |
| Neo T10 Relic | Rare | 5.80% |
| Corufell Barrel | Rare | 8.00% |
| Corufell Handle | Rare | 8.00% |
| Corufell Receiver | Rare | 8.00% |
| Steflos Barrel | Rare | 8.00% |
| Steflos Receiver | Rare | 8.00% |
| Steflos Stock | Rare | 8.00% |
| Primary Plated Round | Rare | 5.70% |
| Secondary Kinship | Rare | 5.70% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Axi S20 Relic | Rare | 7.90% |
| Axi D6 Relic | Rare | 7.90% |
| Axi V14 Relic | Rare | 7.90% |
| Axi T13 Relic | Rare | 7.90% |
| Axi Y1 Relic | Rare | 7.90% |
| Axi C11 Relic | Rare | 7.90% |
| Axi Y3 Relic | Rare | 7.90% |
| Citrine Blueprint | Rare | 9.30% |
| Citrine Chassis Blueprint | Rare | 6.10% |
| Citrine Neuroptics Blueprint | Rare | 6.10% |
| Citrine Systems Blueprint | Rare | 6.10% |
| Secondary Encumber | Rare | 5.70% |
| Arcane Double Back | Rare | 5.70% |
| Arcane Steadfast | Rare | 5.70% |

## Jupiter
### Ganymede — Disruption
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Hexenon | Uncommon | 27.78% |
| Meso L4 Relic | Rare | 5.56% |
| Meso X1 Relic | Rare | 5.56% |
| Meso D8 Relic | Rare | 5.56% |
| Meso V13 Relic | Rare | 5.56% |
| Proton Pulse | Uncommon | 11.11% |
| Motus Signal | Uncommon | 11.11% |
| Aero Periphery | Uncommon | 11.11% |
| Meso A10 Relic | Rare | 5.56% |
| Meso A9 Relic | Rare | 5.56% |
| Meso E7 Relic | Rare | 5.56% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 10X Hexenon | Uncommon | 27.78% |
| Neo C7 Relic | Rare | 5.56% |
| Neo S20 Relic | Rare | 5.56% |
| Neo P10 Relic | Rare | 5.56% |
| Proton Jet | Uncommon | 11.11% |
| Motus Impact | Uncommon | 11.11% |
| Aero Vantage | Uncommon | 11.11% |
| Neo N24 Relic | Rare | 5.56% |
| Neo V11 Relic | Rare | 5.56% |
| Neo K9 Relic | Rare | 5.56% |
| Neo T10 Relic | Rare | 5.56% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 15X Hexenon | Uncommon | 30.00% |
| Axi S20 Relic | Rare | 5.00% |
| Axi D6 Relic | Rare | 5.00% |
| Axi V14 Relic | Rare | 5.00% |
| Proton Snap | Uncommon | 10.00% |
| Motus Setup | Uncommon | 10.00% |
| Aero Agility | Uncommon | 10.00% |
| Universal Medallion | Rare | 5.00% |
| Axi T13 Relic | Rare | 5.00% |
| Axi Y1 Relic | Rare | 5.00% |
| Axi C11 Relic | Rare | 5.00% |
| Axi Y3 Relic | Rare | 5.00% |

### Adrastea (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 5,000 Credits Cache | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 22.11% |
| 400 Endo | Rare | 1.01% |
| 400 Endo | Rare | 1.01% |
| 300X Polymer Bundle | Uncommon | 12.65% |
| 350X Rubedo | Uncommon | 12.65% |
| 300X Plastids | Uncommon | 12.65% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 600 Endo | Uncommon | 15.10% |
| 600 Endo | Uncommon | 15.10% |
| 600 Endo | Rare | 4.40% |
| Orokin Cell | Uncommon | 15.10% |
| Gallium | Uncommon | 15.10% |
| Neurodes | Uncommon | 15.10% |
| 2X Orokin Cell | Rare | 4.40% |
| 2X Gallium | Rare | 4.40% |
| 2X Neurodes | Rare | 4.40% |
| Tellurium | Rare | 4.40% |
| Argon Crystal | Rare | 1.00% |
| Nitain Extract | Rare | 1.00% |
| Xiphos Engines Blueprint | Legendary | 0.50% |

### Amalthea — Spy
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Rare | 9.09% |
| Magazine Warp | Rare | 9.09% |
| Trick Mag | Rare | 9.09% |
| Pressure Point | Rare | 9.09% |
| Ammo Drum | Rare | 9.09% |
| Fast Hands | Rare | 9.09% |
| Point Strike | Rare | 9.09% |
| Piercing Hit | Rare | 9.09% |
| Pistol Gambit | Rare | 9.09% |
| Blunderbuss | Rare | 9.09% |
| Live Wire | Rare | 9.09% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Speed Trigger | Rare | 5.56% |
| Fast Deflection | Rare | 5.56% |
| Rush | Rare | 5.56% |
| Target Cracker | Rare | 5.56% |
| No Return | Rare | 5.56% |
| Serration | Rare | 5.56% |
| Hornet Strike | Rare | 5.56% |
| Reflex Coil | Rare | 5.56% |
| Deep Freeze | Rare | 5.56% |
| North Wind | Rare | 5.56% |
| Cryo Rounds | Rare | 5.56% |
| Hell's Chamber | Rare | 5.56% |
| Streamline | Rare | 5.56% |
| Shocking Touch | Rare | 5.56% |
| Stormbringer | Rare | 5.56% |
| Point Blank | Rare | 5.56% |
| Fury | Rare | 5.56% |
| 50 Endo | Rare | 5.56% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Ivara Chassis Blueprint | Uncommon | 22.56% |
| Rime Rounds | Rare | 7.74% |
| Scattering Inferno | Rare | 7.74% |
| Meso L4 Relic | Rare | 7.74% |
| Meso V15 Relic | Rare | 7.74% |
| Meso X1 Relic | Rare | 7.74% |
| Meso D8 Relic | Rare | 7.74% |
| Meso V13 Relic | Rare | 7.74% |
| Meso A10 Relic | Rare | 7.74% |
| Meso A9 Relic | Rare | 7.74% |
| Meso E7 Relic | Rare | 7.74% |

### Metis — Rescue
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vapor Specter Blueprint | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Phase Specter Blueprint | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Force Specter Blueprint | Common | 100.00% |

### Io — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Meso D8 Relic | Uncommon | 12.50% |
| Meso X1 Relic | Uncommon | 12.50% |
| Meso A10 Relic | Uncommon | 12.50% |
| Meso V13 Relic | Uncommon | 12.50% |
| Meso L4 Relic | Uncommon | 12.50% |
| Meso V15 Relic | Uncommon | 12.50% |
| Meso E7 Relic | Uncommon | 12.50% |
| Meso A9 Relic | Uncommon | 12.50% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Reflex Coil | Rare | 6.25% |
| Deep Freeze | Rare | 6.25% |
| North Wind | Rare | 6.25% |
| Cryo Rounds | Rare | 6.25% |
| Hell's Chamber | Rare | 6.25% |
| Stormbringer | Rare | 6.25% |
| Point Blank | Rare | 6.25% |
| Fury | Rare | 6.25% |
| 150 Endo | Rare | 6.25% |
| Neo C7 Relic | Rare | 6.25% |
| Neo S20 Relic | Rare | 6.25% |
| Neo N24 Relic | Rare | 6.25% |
| Neo V11 Relic | Rare | 6.25% |
| Neo K9 Relic | Rare | 6.25% |
| Neo P10 Relic | Rare | 6.25% |
| Neo T10 Relic | Rare | 6.25% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Vital Sense | Rare | 4.51% |
| Metal Auger | Rare | 4.51% |
| Ravage | Rare | 4.51% |
| Stretch | Rare | 4.51% |
| 300 Endo | Rare | 4.51% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

### Elara — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Provoked | Rare | 6.67% |
| Steel Fiber | Rare | 6.67% |
| Serration | Rare | 6.67% |
| Hornet Strike | Rare | 6.67% |
| Fast Deflection | Rare | 6.67% |
| Charged Shell | Rare | 6.67% |
| Vital Sense | Rare | 6.67% |
| Meso L4 Relic | Rare | 6.67% |
| Meso V15 Relic | Rare | 6.67% |
| Meso X1 Relic | Rare | 6.67% |
| Meso D8 Relic | Rare | 6.67% |
| Meso V13 Relic | Rare | 6.67% |
| Meso A10 Relic | Rare | 6.67% |
| Meso A9 Relic | Rare | 6.67% |
| Meso E7 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Cleanse Corpus | Rare | 3.76% |
| Pistol Ammo Mutation | Rare | 3.76% |
| Arrow Mutation | Rare | 3.76% |
| Rifle Ammo Mutation | Rare | 3.76% |
| Sniper Ammo Mutation | Rare | 3.76% |
| Shotgun Ammo Mutation | Rare | 3.76% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

### Callisto — Interception
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Rare | 9.09% |
| Magazine Warp | Rare | 9.09% |
| Trick Mag | Rare | 9.09% |
| Meso L4 Relic | Rare | 9.09% |
| Meso V15 Relic | Rare | 9.09% |
| Meso X1 Relic | Rare | 9.09% |
| Meso D8 Relic | Rare | 9.09% |
| Meso V13 Relic | Rare | 9.09% |
| Meso A10 Relic | Rare | 9.09% |
| Meso A9 Relic | Rare | 9.09% |
| Meso E7 Relic | Rare | 9.09% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Target Cracker | Rare | 7.14% |
| No Return | Rare | 7.14% |
| Serration | Rare | 7.14% |
| Hornet Strike | Rare | 7.14% |
| Reflex Coil | Rare | 7.14% |
| North Wind | Rare | 7.14% |
| Hell's Chamber | Rare | 7.14% |
| Neo C7 Relic | Rare | 7.14% |
| Neo S20 Relic | Rare | 7.14% |
| Neo P10 Relic | Rare | 7.14% |
| Neo N24 Relic | Rare | 7.14% |
| Neo V11 Relic | Rare | 7.14% |
| Neo K9 Relic | Rare | 7.14% |
| Neo T10 Relic | Rare | 7.14% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Uncommon | 14.29% |
| Neo S20 Relic | Uncommon | 14.29% |
| Neo P10 Relic | Uncommon | 14.29% |
| Neo N24 Relic | Uncommon | 14.29% |
| Neo V11 Relic | Uncommon | 14.29% |
| Neo K9 Relic | Uncommon | 14.29% |
| Neo T10 Relic | Uncommon | 14.29% |

### Carpo (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 4,000 Credits Cache | Common | 33.33% |
| 4,000 Credits Cache | Common | 33.33% |
| 4,000 Credits Cache | Common | 33.33% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 11.06% |
| 400 Endo | Uncommon | 11.06% |
| 400 Endo | Rare | 1.01% |
| 400 Endo | Rare | 1.01% |
| 300X Polymer Bundle | Uncommon | 12.65% |
| 350X Rubedo | Uncommon | 12.65% |
| 300X Plastids | Uncommon | 12.65% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 600 Endo | Uncommon | 15.10% |
| 600 Endo | Uncommon | 15.10% |
| 600 Endo | Rare | 4.40% |
| Orokin Cell | Uncommon | 15.10% |
| Gallium | Uncommon | 15.10% |
| Neurodes | Uncommon | 15.10% |
| 2X Orokin Cell | Rare | 4.40% |
| 2X Gallium | Rare | 4.40% |
| 2X Neurodes | Rare | 4.40% |
| Tellurium | Rare | 4.40% |
| Argon Crystal | Rare | 1.00% |
| Nitain Extract | Rare | 1.00% |
| Xiphos Engines Blueprint | Legendary | 0.50% |

### Themisto — Assassination
| Item | Rarity | Chance |
|---|---|---|
| Valkyr Neuroptics Blueprint | Common | 38.72% |
| Valkyr Chassis Blueprint | Common | 38.72% |
| Valkyr Systems Blueprint | Uncommon | 22.56% |

### The Ropalolyst — Assassination
| Item | Rarity | Chance |
|---|---|---|
| Amalgam Furax Body Count | Uncommon | 20.00% |
| Amalgam Ripkas True Steel | Uncommon | 20.00% |
| Amalgam Argonak Metal Auger | Uncommon | 20.00% |
| Amalgam Daikyu Target Acquired | Uncommon | 20.00% |
| Amalgam Javlok Magazine Warp | Uncommon | 20.00% |

### The Ropalolyst (Extra) — Assassination
| Item | Rarity | Chance |
|---|---|---|
| Wisp Blueprint | Uncommon | 22.56% |
| Wisp Chassis Blueprint | Uncommon | 25.81% |
| Wisp Neuroptics Blueprint | Uncommon | 25.81% |
| Wisp Systems Blueprint | Uncommon | 25.81% |

### Sinai — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Rare | 6.90% |
| Fast Deflection | Rare | 6.90% |
| Rush | Rare | 7.37% |
| Magazine Warp | Rare | 6.90% |
| Trick Mag | Rare | 6.90% |
| Pressure Point | Rare | 1.01% |
| Ammo Drum | Rare | 7.37% |
| Fast Hands | Rare | 7.37% |
| True Punishment | Rare | 1.01% |
| Lith K12 Relic | Rare | 6.90% |
| Lith E2 Relic | Rare | 6.90% |
| Lith G14 Relic | Rare | 6.90% |
| Lith Q2 Relic | Rare | 6.90% |
| Lith N18 Relic | Rare | 6.90% |
| Lith N19 Relic | Rare | 6.90% |
| Lith C14 Relic | Rare | 6.90% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Speed Trigger | Rare | 8.43% |
| Fast Hands | Rare | 1.47% |
| Point Strike | Rare | 8.43% |
| Vital Sense | Rare | 8.43% |
| Piercing Hit | Rare | 1.47% |
| Metal Auger | Rare | 1.47% |
| Pistol Gambit | Rare | 8.43% |
| Target Cracker | Rare | 8.43% |
| No Return | Rare | 8.43% |
| Ravage | Rare | 8.43% |
| Blunderbuss | Rare | 8.43% |
| Point Blank | Rare | 1.47% |
| Serration | Rare | 1.47% |
| Hornet Strike | Rare | 1.47% |
| Fury | Legendary | 0.67% |
| Reflex Coil | Rare | 1.47% |
| Pressure Point | Rare | 8.43% |
| True Punishment | Legendary | 0.67% |
| Quickening | Legendary | 0.67% |
| Meso D8 Relic | Rare | 1.47% |
| Meso X1 Relic | Rare | 1.47% |
| Meso A10 Relic | Rare | 1.47% |
| Meso V13 Relic | Rare | 1.47% |
| Meso L4 Relic | Rare | 1.47% |
| Meso V15 Relic | Rare | 1.47% |
| Meso E7 Relic | Rare | 1.47% |
| Meso A9 Relic | Rare | 1.47% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Hellfire | Rare | 6.90% |
| Heated Charge | Rare | 6.90% |
| Molten Impact | Rare | 1.84% |
| Barrel Diffusion | Rare | 1.84% |
| Streamline | Rare | 1.84% |
| Intensify | Rare | 1.84% |
| Thunderbolt | Legendary | 0.40% |
| 80 Endo | Rare | 6.90% |
| 80 Endo | Rare | 1.84% |
| True Punishment | Legendary | 0.40% |
| Quickening | Legendary | 0.40% |
| Enduring Strike | Legendary | 0.40% |
| Life Strike | Legendary | 0.40% |
| Meso D8 Relic | Rare | 6.90% |
| Meso X1 Relic | Rare | 6.90% |
| Meso A10 Relic | Rare | 6.90% |
| Meso V13 Relic | Rare | 6.90% |
| Meso L4 Relic | Rare | 6.90% |
| Meso V15 Relic | Rare | 6.90% |
| Meso E7 Relic | Rare | 6.90% |
| Meso A9 Relic | Rare | 6.90% |
| Neo C7 Relic | Rare | 1.84% |
| Neo S20 Relic | Rare | 1.84% |
| Neo N24 Relic | Rare | 1.84% |
| Neo V11 Relic | Rare | 1.84% |
| Neo K9 Relic | Rare | 1.84% |
| Neo P10 Relic | Rare | 1.84% |
| Neo T10 Relic | Rare | 1.84% |

### Ananke — Capture
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.84% |
| Fast Deflection | Uncommon | 10.84% |
| Rush | Uncommon | 11.06% |
| Magazine Warp | Uncommon | 10.84% |
| Trick Mag | Uncommon | 10.84% |
| Pressure Point | Legendary | 0.34% |
| Ammo Drum | Uncommon | 11.06% |
| Fast Hands | Uncommon | 10.84% |
| Quickdraw | Uncommon | 10.84% |
| Health Restore (Large) | Uncommon | 10.84% |
| Omni Ammo Box | Legendary | 0.34% |
| North Wind | Legendary | 0.34% |
| Shocking Touch | Legendary | 0.34% |
| Molten Impact | Legendary | 0.34% |
| Stretch | Legendary | 0.34% |

### Galilea — Sabotage
| Item | Rarity | Chance |
|---|---|---|
| Glacial Edge | Uncommon | 25.81% |
| Conductive Blade | Uncommon | 25.81% |
| Tempered Blade | Uncommon | 25.81% |
| Meteor Crash | Rare | 3.76% |
| Nebula Bore | Rare | 3.76% |
| Astral Slash | Rare | 3.76% |
| Comet Blast | Rare | 3.76% |
| Quasar Drill | Rare | 3.76% |
| Zodiac Shred | Rare | 3.76% |

### Cameria — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Provoked | Rare | 6.67% |
| Steel Fiber | Rare | 6.67% |
| Serration | Rare | 6.67% |
| Hornet Strike | Rare | 6.67% |
| Fast Deflection | Rare | 6.67% |
| Charged Shell | Rare | 6.67% |
| Vital Sense | Rare | 6.67% |
| Meso L4 Relic | Rare | 6.67% |
| Meso V15 Relic | Rare | 6.67% |
| Meso X1 Relic | Rare | 6.67% |
| Meso D8 Relic | Rare | 6.67% |
| Meso V13 Relic | Rare | 6.67% |
| Meso A10 Relic | Rare | 6.67% |
| Meso A9 Relic | Rare | 6.67% |
| Meso E7 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Quickening | Uncommon | 11.28% |
| Enduring Strike | Uncommon | 11.28% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

## Saturn
### Helene — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Meso D8 Relic | Uncommon | 12.50% |
| Meso X1 Relic | Uncommon | 12.50% |
| Meso A10 Relic | Uncommon | 12.50% |
| Meso V13 Relic | Uncommon | 12.50% |
| Meso L4 Relic | Uncommon | 12.50% |
| Meso V15 Relic | Uncommon | 12.50% |
| Meso E7 Relic | Uncommon | 12.50% |
| Meso A9 Relic | Uncommon | 12.50% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Reflex Coil | Rare | 6.25% |
| Deep Freeze | Rare | 6.25% |
| North Wind | Rare | 6.25% |
| Cryo Rounds | Rare | 6.25% |
| Hell's Chamber | Rare | 6.25% |
| Stormbringer | Rare | 6.25% |
| Point Blank | Rare | 6.25% |
| Fury | Rare | 6.25% |
| 150 Endo | Rare | 6.25% |
| Neo C7 Relic | Rare | 6.25% |
| Neo S20 Relic | Rare | 6.25% |
| Neo N24 Relic | Rare | 6.25% |
| Neo V11 Relic | Rare | 6.25% |
| Neo K9 Relic | Rare | 6.25% |
| Neo P10 Relic | Rare | 6.25% |
| Neo T10 Relic | Rare | 6.25% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Vital Sense | Rare | 4.51% |
| Metal Auger | Rare | 4.51% |
| Ravage | Rare | 4.51% |
| Stretch | Rare | 4.51% |
| 300 Endo | Rare | 4.51% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

### Titan — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 2,500 Credits Cache | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
| 100 Endo | Uncommon | 16.67% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Provoked | Rare | 6.67% |
| Steel Fiber | Rare | 6.67% |
| Serration | Rare | 6.67% |
| Hornet Strike | Rare | 6.67% |
| Fast Deflection | Rare | 6.67% |
| Charged Shell | Rare | 6.67% |
| Vital Sense | Rare | 6.67% |
| Meso L4 Relic | Rare | 6.67% |
| Meso V15 Relic | Rare | 6.67% |
| Meso X1 Relic | Rare | 6.67% |
| Meso D8 Relic | Rare | 6.67% |
| Meso V13 Relic | Rare | 6.67% |
| Meso A10 Relic | Rare | 6.67% |
| Meso A9 Relic | Rare | 6.67% |
| Meso E7 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Cleanse Corpus | Rare | 3.76% |
| Pistol Ammo Mutation | Rare | 3.76% |
| Arrow Mutation | Rare | 3.76% |
| Rifle Ammo Mutation | Rare | 3.76% |
| Sniper Ammo Mutation | Rare | 3.76% |
| Shotgun Ammo Mutation | Rare | 3.76% |
| Neo C7 Relic | Uncommon | 11.06% |
| Neo S20 Relic | Uncommon | 11.06% |
| Neo P10 Relic | Uncommon | 11.06% |
| Neo N24 Relic | Uncommon | 11.06% |
| Neo V11 Relic | Uncommon | 11.06% |
| Neo K9 Relic | Uncommon | 11.06% |
| Neo T10 Relic | Uncommon | 11.06% |

### Dione — Spy
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Rare | 9.09% |
| Magazine Warp | Rare | 9.09% |
| Trick Mag | Rare | 9.09% |
| Pressure Point | Rare | 9.09% |
| Ammo Drum | Rare | 9.09% |
| Fast Hands | Rare | 9.09% |
| Point Strike | Rare | 9.09% |
| Piercing Hit | Rare | 9.09% |
| Pistol Gambit | Rare | 9.09% |
| Blunderbuss | Rare | 9.09% |
| Live Wire | Rare | 9.09% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Speed Trigger | Rare | 5.56% |
| Fast Deflection | Rare | 5.56% |
| Rush | Rare | 5.56% |
| Target Cracker | Rare | 5.56% |
| No Return | Rare | 5.56% |
| Serration | Rare | 5.56% |
| Hornet Strike | Rare | 5.56% |
| Reflex Coil | Rare | 5.56% |
| Deep Freeze | Rare | 5.56% |
| North Wind | Rare | 5.56% |
| Cryo Rounds | Rare | 5.56% |
| Hell's Chamber | Rare | 5.56% |
| Streamline | Rare | 5.56% |
| Shocking Touch | Rare | 5.56% |
| Stormbringer | Rare | 5.56% |
| Point Blank | Rare | 5.56% |
| Fury | Rare | 5.56% |
| 50 Endo | Rare | 5.56% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Ivara Chassis Blueprint | Uncommon | 22.56% |
| Rime Rounds | Rare | 7.74% |
| Scattering Inferno | Rare | 7.74% |
| Meso L4 Relic | Rare | 7.74% |
| Meso V15 Relic | Rare | 7.74% |
| Meso X1 Relic | Rare | 7.74% |
| Meso D8 Relic | Rare | 7.74% |
| Meso V13 Relic | Rare | 7.74% |
| Meso A10 Relic | Rare | 7.74% |
