# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
| Mod | Rarity | Chance |
|---|---|---|
| Fatal Attraction | Uncommon | 25.29% |
| Assault Mode | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Gemini Cross | Uncommon | 22.11% |
| Reflex Guard | Rare | 1.01% |
| Bleeding Willow | Rare | 1.01% |

## Councilor Vay Hek
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Molten Impact | Rare | 4.42% |
| Killing Blow | Rare | 4.42% |
| Cryo Rounds | Rare | 4.42% |
| Stretch | Rare | 4.42% |
| 50 Endo | Rare | 4.42% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Corpus Power Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Corpus Tech
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Point Strike | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Charged Shell | Rare | 5.53% |
| Cleanse Grineer | Rare | 5.53% |
| Swirling Tiger | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Handspring | Rare | 2.01% |

## Sapping Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Crowd Dispersion | Uncommon | 25.29% |
| Magazine Warp | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Stretch | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Split Chamber | Legendary | 0.67% |
| Gleaming Talon | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Isolator Bursa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Molten Impact | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Tempo Royale | Rare | 2.01% |

## Violence (Level 0 - 100)
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Primary Merciless | Uncommon | 16.67% |
| Primary Dexterity | Uncommon | 16.67% |
| Primary Deadhead | Uncommon | 16.67% |
| Secondary Merciless | Uncommon | 16.67% |
| Secondary Dexterity | Uncommon | 16.67% |
| Secondary Deadhead | Uncommon | 16.67% |

## Hemocyte
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hunter Recovery | Uncommon | 28.95% |
| Hunter Adrenaline | Uncommon | 28.95% |
| Hunter Command | Uncommon | 10.53% |
| Hunter Synergy | Uncommon | 10.53% |
| Hunter Munitions | Uncommon | 10.53% |
| Hunter Track | Uncommon | 10.53% |

## Elite Lancer
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| 50 Endo | Uncommon | 22.11% |
| 80 Endo | Rare | 2.01% |

## Eviscerator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Kavat
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Territorial Aggression | Uncommon | 30.56% |
| Pounce | Uncommon | 30.56% |
| Fear Sense | Uncommon | 30.56% |
| Cat's Eye | Rare | 4.17% |
| Mischief | Rare | 4.17% |

## Kubrow
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Scavenge | Uncommon | 25.29% |
| Loyal Companion | Uncommon | 25.29% |
| Pack Leader | Uncommon | 25.29% |
| Shelter | Rare | 3.69% |
| Link Fiber | Rare | 3.69% |
| Link Vitality | Rare | 3.69% |
| Link Redirection | Rare | 3.69% |
| Maul | Rare | 3.69% |
| Hastened Deflection | Rare | 3.69% |
| Hunt | Legendary | 0.22% |
| Stalk | Legendary | 0.22% |
| Dig | Legendary | 0.22% |
| Howl | Legendary | 0.22% |
| Protect | Legendary | 0.22% |
| Unleashed | Legendary | 0.22% |
| Savagery | Legendary | 0.22% |
| Bite | Legendary | 0.22% |
| Ferocity | Legendary | 0.22% |

## Kuva Elite Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Quickdraw | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Razor Shot | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Thunderbolt | Legendary | 0.67% |
| Undying Will | Legendary | 0.67% |
| Crossing Snakes | Legendary | 0.67% |

## Kuva Eviscerator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Kuva Drahk Master
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Napalm
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Point Strike | Uncommon | 25.29% |
| Enhanced Vitality | Uncommon | 25.29% |
| Insulation | Uncommon | 25.29% |
| Gunslinger | Rare | 5.53% |
| Ammo Stock | Rare | 5.53% |
| Rending Crane | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Rage | Rare | 2.01% |

## Kuva Heavy Gunner
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 25.29% |
| Warm Coat | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Expel Grineer | Uncommon | 11.06% |
| Tactical Pump | Uncommon | 11.06% |
| Sovereign Outcast | Rare | 2.01% |

## Kuva Bombard
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 25.29% |
| Warm Coat | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Expel Grineer | Uncommon | 11.06% |
| Tactical Pump | Uncommon | 11.06% |
| Sanctuary | Legendary | 0.67% |
| Condition Overload | Legendary | 0.67% |
| Sure Footed | Legendary | 0.67% |

## Kuva Hyekka Master
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 25.29% |
| Fast Hands | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| 50 Endo | Uncommon | 22.11% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Scorch
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Sure Shot | Rare | 5.64% |
| Bane Of Grineer | Rare | 5.64% |
| Swirling Tiger | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Kuva Hellion Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Hellion
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Kuva Drahk
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Scavenge | Uncommon | 25.29% |
| Loyal Companion | Uncommon | 25.29% |
| Pack Leader | Uncommon | 25.29% |
| Shelter | Rare | 3.69% |
| Link Fiber | Rare | 3.69% |
| Link Vitality | Rare | 3.69% |
| Link Redirection | Rare | 3.69% |
| Maul | Rare | 3.69% |
| Hastened Deflection | Rare | 3.69% |
| Hunt | Legendary | 0.22% |
| Stalk | Legendary | 0.22% |
| Dig | Legendary | 0.22% |
| Howl | Legendary | 0.22% |
| Protect | Legendary | 0.22% |
| Unleashed | Legendary | 0.22% |
| Savagery | Legendary | 0.22% |
| Bite | Legendary | 0.22% |
| Ferocity | Legendary | 0.22% |

## Kuva Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| Vitality | Common | 37.94% |
| Heated Charge | Uncommon | 11.06% |
| Diamond Skin | Uncommon | 11.06% |
| Heavy Trauma | Legendary | 0.50% |
| Streamline | Legendary | 0.50% |
| Iron Phoenix | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Kuva Shield Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Flechette | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Smite Infested | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Retribution | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Trooper
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Kuva Seeker
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sawtooth Clip | Common | 75.88% |
| Killing Blow | Rare | 7.37% |
| Accelerated Deflection | Rare | 7.37% |
| Shimmering Blight | Rare | 7.37% |
| Barrel Diffusion | Legendary | 0.67% |
| Crushing Ruin | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Kuva Roller
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 18.97% |
| Trick Mag | Uncommon | 18.97% |
| Enhanced Vitality | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Hellfire | Rare | 7.37% |
| Fast Deflection | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| 80 Endo | Rare | 2.01% |

## Kuva Flameblade
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Flame Repellent | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Rifle Aptitude | Rare | 7.37% |
| Cleanse Corpus | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Enemy Sense | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Butcher
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Powerclaw
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Vaporize | Common | 37.94% |
| Calculated Redirection | Common | 37.94% |
| Target Cracker | Rare | 5.53% |
| Bane Of Infested | Rare | 5.53% |
| Grim Fury | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Seeking Force | Rare | 1.01% |
| Malicious Raptor | Rare | 1.01% |

## Kuva Ballista
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Stormbringer | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Kuva Power Carrier
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Kuva Scorpion
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lightning Rod | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Serration | Rare | 7.37% |
| Heavy Impact | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Master Thief | Rare | 1.01% |
| Defiled Snapdragon | Rare | 1.01% |

## Draga
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Quickdraw | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Razor Shot | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Thunderbolt | Legendary | 0.67% |
| Undying Will | Legendary | 0.67% |
| Crossing Snakes | Legendary | 0.67% |

## Fusion Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Vaporize | Uncommon | 18.97% |
| Enhanced Vitality | Uncommon | 18.97% |
| Thief's Wit | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Smite Corpus | Rare | 5.53% |
| Antitoxin | Rare | 5.53% |
| Rush | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Self Destruct | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Ghoul Devourer
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Fast Hands | Uncommon | 25.29% |
| Enduring Affliction | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Smite Grineer | Rare | 3.69% |
| Atlantis Vulcan | Rare | 3.69% |
| 50 Endo | Rare | 3.69% |
| Slicing Feathers | Rare | 2.01% |

## Ghoul Auger
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Sure Shot | Rare | 5.53% |
| Bane Of Grineer | Rare | 5.53% |
| Swirling Tiger | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Slicing Feathers | Rare | 2.01% |

## Ghoul Auger Alpha
**Base Mod Drop Chance:** 50.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hunter Recovery | Common | 75.88% |
| Hunter Synergy | Uncommon | 22.11% |
| Hunter Command | Rare | 1.01% |
| Slicing Feathers | Rare | 1.01% |

## Ghoul Expired
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Lightning Rod | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Serration | Rare | 7.37% |
| Heavy Impact | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Master Thief | Rare | 1.01% |
| Slicing Feathers | Rare | 1.01% |

## Ghoul Rictus
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Butcher's Revelry | Rare | 1.01% |
| Slicing Feathers | Rare | 1.01% |

## Ghoul Rictus Alpha
**Base Mod Drop Chance:** 50.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hunter Adrenaline | Common | 75.88% |
| Hunter Munitions | Uncommon | 22.11% |
| Hunter Track | Rare | 1.01% |
| Slicing Feathers | Rare | 1.01% |

## Lephantis
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quick Return | Common | 37.94% |
| Rebound | Common | 37.94% |
| Spare Parts | Uncommon | 22.11% |
| Stabilizer | Rare | 2.01% |

## Infested Corpus
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 38.72% |
| Parry | Common | 38.72% |
| Provoked | Rare | 7.52% |
| Equilibrium | Rare | 7.52% |
| Eleventh Storm | Rare | 7.52% |

## Ancient Infested
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 38.72% |
| Parry | Common | 38.72% |
| Provoked | Rare | 7.52% |
| Equilibrium | Rare | 7.52% |
| Eleventh Storm | Rare | 7.52% |

## Infested Grineer
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 38.72% |
| Parry | Common | 38.72% |
| Provoked | Rare | 7.52% |
| Equilibrium | Rare | 7.52% |
| Eleventh Storm | Rare | 7.52% |

## Artificer
**Base Mod Drop Chance:** 100.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Molten Impact | Rare | 4.42% |
| Killing Blow | Rare | 4.42% |
| Cryo Rounds | Rare | 4.42% |
| Stretch | Rare | 4.42% |
| 50 Endo | Rare | 4.42% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Carabus
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Rare | 7.37% |
| Convulsion | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Hell's Chamber | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Drahk Master
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Arid Butcher
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Perpetual Agony | Common | 37.94% |
| Blunderbuss | Common | 37.94% |
| North Wind | Rare | 4.42% |
| Reflex Coil | Rare | 4.42% |
| Fever Strike | Rare | 4.42% |
| Rifle Aptitude | Rare | 4.42% |
| 50 Endo | Rare | 4.42% |
| Flow | Rare | 1.01% |
| Tranquil Cleave | Rare | 1.01% |

## Frontier Butcher
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Perpetual Agony | Common | 37.94% |
| Blunderbuss | Common | 37.94% |
| North Wind | Rare | 4.42% |
| Reflex Coil | Rare | 4.42% |
| Fever Strike | Rare | 4.42% |
| Rifle Aptitude | Rare | 4.42% |
| 50 Endo | Rare | 4.42% |
| Flow | Rare | 1.01% |
| Tranquil Cleave | Rare | 1.01% |

## Napalm
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Point Strike | Uncommon | 25.29% |
| Enhanced Vitality | Uncommon | 25.29% |
| Insulation | Uncommon | 25.29% |
| Gunslinger | Rare | 5.53% |
| Ammo Stock | Rare | 5.53% |
| Rending Crane | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Rage | Rare | 2.01% |

## Heavy Gunner
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Slip Magazine | Uncommon | 18.97% |
| Magazine Warp | Uncommon | 18.97% |
| Blunderbuss | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Shell Compression | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Decisive Judgement | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Arid Heavy Gunner
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Slip Magazine | Uncommon | 18.97% |
| Magazine Warp | Uncommon | 18.97% |
| Blunderbuss | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| Shell Compression | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Decisive Judgement | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Bombard
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| True Steel | Uncommon | 25.29% |
| Warm Coat | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Expel Grineer | Uncommon | 11.06% |
| Tactical Pump | Uncommon | 11.06% |
| Sanctuary | Legendary | 0.50% |
| Sure Footed | Legendary | 0.50% |
| Crimson Dervish | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Hyekka Master
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 25.29% |
| Fast Hands | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| 50 Endo | Uncommon | 22.11% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Frontier Bailiff
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Bailiff
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 18.97% |
| Point Strike | Uncommon | 18.97% |
| Fast Hands | Uncommon | 18.97% |
| 15 Endo | Uncommon | 18.97% |
| North Wind | Rare | 5.53% |
| Reflex Coil | Rare | 5.53% |
| Smite Grineer | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Hyekka
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Sharpened Claws | Common | 45.83% |
| Swipe | Common | 45.83% |
| Charm | Rare | 4.17% |
| Reflect | Rare | 4.17% |

## Ogma
**Base Mod Drop Chance:** 25.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Cutting Edge | Rare | 7.37% |
| Poisonous Sting | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Dual Rounds | Rare | 1.01% |
| System Reroute | Rare | 1.01% |

## Bailiff Defector
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 75.88% |
| North Wind | Uncommon | 11.06% |
| Seismic Wave | Uncommon | 11.06% |
| Flow | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Elite Arid Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Quickdraw | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Razor Shot | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Thunderbolt | Legendary | 0.67% |
| Undying Will | Legendary | 0.67% |
| Crossing Snakes | Legendary | 0.67% |

## Elite Frontier Lancer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Quickdraw | Uncommon | 25.29% |
| Redirection | Uncommon | 25.29% |
| Razor Shot | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Thunderbolt | Legendary | 0.67% |
| Undying Will | Legendary | 0.67% |
| Crossing Snakes | Legendary | 0.67% |

## Arid Eviscerator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Frontier Eviscerator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 18.97% |
| Pistol Gambit | Uncommon | 18.97% |
| Disruptor | Uncommon | 18.97% |
| Lingering Torment | Uncommon | 18.97% |
| Shocking Touch | Uncommon | 11.06% |
| Sundering Weave | Uncommon | 11.06% |
| 80 Endo | Rare | 2.01% |

## Scorch
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Sure Shot | Rare | 5.64% |
| Bane Of Grineer | Rare | 5.64% |
| Swirling Tiger | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Kuva Dargyn
**Base Mod Drop Chance:** 12.50%
| Mod | Rarity | Chance |
|---|---|---|
| Extend | Uncommon | 25.29% |
| Sudden Impact | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Rubedo-Lined Barrel | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| System Reroute | Rare | 2.01% |

## Frontier Heavy Gunner
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Slip Magazine | Uncommon | 18.97% |
